Boekjaar,Klantenkrediet,Leverancierskrediet,Totaal aantal dagen voorraad+klantenkrediet
Boekjaar 1,33.064773750587065,91.89379238828238,38.0996461867544
Boekjaar 2,31.20478263032677,96.09899009634563,34.29608445760068
Boekjaar 3,64.14153114465896,66.66024651684013,63.42640927869203
